Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	20.942	20.942	20.942	20.942	20.942	20.942	20.942	20.97	21.0	20.942	20.942	20.942	20.942

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.951	20.946	21.0	21.0	21.0	21.0

20.97	20.951	20.951	20.951	20.951	20.951	20.951	20.951	21.0	20.969	20.947	20.947	20.947	20.947

21.0	20.946	20.946	20.946	20.946	20.946	20.946	20.946	20.969	21.0	20.942	20.942	20.942	20.942

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0

20.942	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.947	20.942	21.0	21.0	21.0	21.0

