SA20160323	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160200	SA20160170
0.0	0.004	0.004	0.004	0.004	0.005	0.004	0.003	0.0	0.48	0.005
0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.004	0.476	0.0
0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
0.003	0.004	0.004	0.004	0.004	0.004	0.004	0.0	0.003	0.48	0.004
0.0	0.004	0.005	0.005	0.005	0.005	0.005	0.003	0.0	0.48	0.005
0.48	0.476	0.476	0.476	0.476	0.476	0.476	0.48	0.48	0.0	0.476
0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.005	0.476	0.0
