Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3



0.0	0.003	0.003	0.003	0.003	0.098	0.003	0.003	0.073	0.0	0.003	0.003	0.003	0.003



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.098	0.095	0.095	0.095	0.095	0.0	0.095	0.095	0.167	0.098	0.095	0.095	0.095	0.095



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.073	0.072	0.072	0.072	0.072	0.167	0.072	0.072	0.0	0.073	0.072	0.072	0.072	0.072



0.0	0.003	0.003	0.003	0.003	0.098	0.003	0.003	0.073	0.0	0.003	0.003	0.003	0.003



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



0.003	0.0	0.0	0.0	0.0	0.095	0.0	0.0	0.072	0.003	0.0	0.0	0.0	0.0



