Salmonella Heidelberg 13	Salmonella Heidelberg 4	Salmonella Heidelberg 10	Salmonella Heidelberg 6	Salmonella Heidelberg 14	Salmonella Heidelberg 8	Salmonella Heidelberg 1	Salmonella Heidelberg 9	Salmonella Heidelberg 2	Salmonella Heidelberg 5	Salmonella Heidelberg 11	Salmonella Heidelberg 7	Salmonella Heidelberg 12	Salmonella Heidelberg 3

21.0	18.925	20.883	20.892	20.892	20.892	20.892	20.892	20.645	20.988	20.892	20.892	20.892	20.892

18.925	21.0	19.045	19.051	19.051	19.051	19.051	19.051	18.768	19.0	19.051	19.051	19.051	19.051

20.883	19.045	21.0	20.994	20.994	20.994	20.994	20.994	20.702	20.891	20.994	20.994	20.994	20.994

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.709	20.899	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.709	20.899	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.709	20.899	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.709	20.899	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.709	20.899	21.0	21.0	21.0	21.0

20.645	18.768	20.702	20.709	20.709	20.709	20.709	20.709	21.0	20.569	20.622	20.622	20.622	20.622

20.988	19.0	20.891	20.899	20.899	20.899	20.899	20.899	20.569	21.0	20.91	20.91	20.91	20.91

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.622	20.91	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.622	20.91	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.622	20.91	21.0	21.0	21.0	21.0

20.892	19.051	20.994	21.0	21.0	21.0	21.0	21.0	20.622	20.91	21.0	21.0	21.0	21.0

