SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
21.0	20.867	20.867	20.867	20.867	20.867	20.867	20.867	20.994	20.867	20.867	20.867	20.867
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.883	21.0	21.0	21.0	21.0
20.994	20.883	20.883	20.883	20.883	20.883	20.883	20.883	21.0	20.872	20.872	20.872	20.872
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.872	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.872	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.872	21.0	21.0	21.0	21.0
20.867	21.0	21.0	21.0	21.0	21.0	21.0	21.0	20.872	21.0	21.0	21.0	21.0
