SA20160323	SA20160172	SA20160209	SA20160197	SA20160326	SA20160201	SA20153980	SA20160203	SA20153983	SA20160190	SA20160210	SA20160200	SA20160228	SA20160170
0.0	0.317	0.312	0.312	0.312	0.317	0.317	0.312	0.314	0.0	0.317	0.312	0.312	0.312
0.317	0.0	0.19	0.19	0.19	0.19	0.19	0.19	0.196	0.316	0.19	0.19	0.19	0.19
0.312	0.19	0.0	0.0	0.0	0.19	0.143	0.0	0.15	0.31	0.19	0.0	0.0	0.0
0.312	0.19	0.0	0.0	0.0	0.19	0.143	0.0	0.15	0.31	0.19	0.0	0.0	0.0
0.312	0.19	0.0	0.0	0.0	0.19	0.143	0.0	0.15	0.31	0.19	0.0	0.0	0.0
0.317	0.19	0.19	0.19	0.19	0.0	0.19	0.19	0.196	0.316	0.19	0.19	0.19	0.19
0.317	0.19	0.143	0.143	0.143	0.19	0.0	0.149	0.174	0.316	0.19	0.149	0.149	0.149
0.312	0.19	0.0	0.0	0.0	0.19	0.149	0.0	0.15	0.31	0.19	0.0	0.0	0.0
0.314	0.196	0.15	0.15	0.15	0.196	0.174	0.15	0.0	0.312	0.195	0.14	0.14	0.14
0.0	0.316	0.31	0.31	0.31	0.316	0.316	0.31	0.312	0.0	0.317	0.312	0.312	0.312
0.317	0.19	0.19	0.19	0.19	0.19	0.19	0.19	0.195	0.317	0.0	0.19	0.19	0.19
0.312	0.19	0.0	0.0	0.0	0.19	0.149	0.0	0.14	0.312	0.19	0.0	0.0	0.0
0.312	0.19	0.0	0.0	0.0	0.19	0.149	0.0	0.14	0.312	0.19	0.0	0.0	0.0
0.312	0.19	0.0	0.0	0.0	0.19	0.149	0.0	0.14	0.312	0.19	0.0	0.0	0.0
